copiesSold,price,revenue,avgPlaytime,reviewScore,publisherClass_AAA,publisherClass_Hobbyist,publisherClass_Indie,Label,name,releaseDate,publisherClass,publishers,developers
17717.0,17.99,263733.0,4.766068924187017,92.0,0.0,0.0,1.0,Indie,Hookah Haze,10-07-2024,Indie,Aniplex Inc.,ACQUIRE Corp.
14679.0,19.99,263197.0,6.791463008808835,80.0,0.0,0.0,1.0,Indie,Future Fragments,22-02-2024,Indie,"Taboo Toad,Shady Corner Games",The Future Fragments Team
12312.0,24.99,263004.0,3.329619728276769,96.0,0.0,0.0,1.0,Indie,Botany Manor,09-04-2024,Indie,Whitethorn Games,Balloon Studios
66201.0,4.99,262728.0,10.807864513617217,86.0,0.0,0.0,1.0,Indie,Scarlet Tower,25-03-2024,Indie,Pyxeralia LLC,Pyxeralia LLC
15742.0,19.99,260940.0,7.258494933109757,90.0,0.0,0.0,1.0,Indie,Vellum,28-03-2024,Indie,"Alvios, Inc.",Alvios Games
34355.0,8.99,260449.0,1.582619871033138,63.0,0.0,0.0,1.0,Indie,Supernatural,15-07-2024,Indie,Hitori De Productions,Hitori De Productions
10048.0,29.99,258574.0,11.459016872346174,93.0,0.0,0.0,1.0,Non-Indie,Yohane the Parhelion - NUMAZU in the MIRAGE -,21-02-2024,Indie,BeXide Inc.,BeXide Inc.
9499.0,29.99,256387.0,5.427033571710683,98.0,0.0,0.0,1.0,Indie,Revue Starlight El Dorado,07-08-2024,Indie,Bushiroad Inc.,Frontwing
12768.0,13.99,255512.0,2.503693650275288,60.0,0.0,0.0,1.0,Indie,Contain,16-01-2024,Indie,SinginGiant,SinginGiant
21858.0,19.99,255441.0,2.3648222677036745,68.0,0.0,0.0,0.0,Indie,Brothers: A Tale of Two Sons Remake,28-02-2024,AA,505 Games,Avantgarden SRL
10136.0,29.99,254966.0,11.2397919153104,90.0,0.0,0.0,1.0,Non-Indie,Voice Love on Air,27-03-2024,Indie,SOFTSTAR ENTERTAINMENT,"SOFTSTAR ENTERTAINMENT,Noisy Fish"
14675.0,24.99,253627.0,8.063675087275312,78.0,0.0,0.0,1.0,Non-Indie,Great Houses of Calderia,02-05-2024,Indie,Firesquid,Resistance Games
15238.0,19.99,252953.0,12.391322087258976,71.0,0.0,0.0,1.0,Non-Indie,King Arthur: Legion IX,09-05-2024,Indie,NeocoreGames,NeocoreGames
15063.0,19.99,251556.0,6.484102923591283,85.0,0.0,0.0,1.0,Indie,SENTRY,25-03-2024,Indie,Fireblade Software,Fireblade Software
